# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
 pt  78   1.105900 -0.514100  0.187745  1.79103E-09  3.61194E-10  9.09842E-10
 au  79   0.317436 -0.482564  0.219281  2.94323E-10  5.91884E-11  1.49516E-10
 hg  80   1.291227  0.121227  0.823073  2.82183E-09  1.23299E-09  1.43349E-09
 tl  81   0.965812  0.195812  0.897657  1.35910E-09  6.02950E-10  6.90422E-10
 pb  82   2.857885  0.817885  1.519731  1.07466E-07  5.29413E-08  5.45925E-08
 bi  83   0.944419  0.294419  0.996264  1.32287E-09  6.04172E-10  6.72019E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.2334   0.2869   0.8203   0.5334   0.6994
# Initial mass = 1.150, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.642, Mass expelled =   0.5080
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.25186E-01 -1.42031E-02  3.68394E-01
 he   2  10.982226  0.052226  0.754107  2.76440E-01  1.33417E-02  1.40431E-01
  c   6   8.254371 -0.215630  0.486251  1.55217E-03  5.30872E-04  7.88501E-04
  n   7   7.480202 -0.389798  0.312083  3.04464E-04  7.91984E-05  1.54668E-04
  o   8   8.045169 -0.684831  0.017050  1.27718E-03  3.27203E-05  6.48806E-04
  f   9   4.209407 -0.250593  0.451288  2.21363E-07  7.26302E-08  1.12452E-07
 ne  10   7.419445 -0.550555  0.151326  3.81377E-04  5.68591E-05  1.93740E-04
 na  11   5.693435 -0.616565  0.085316  8.16512E-06  7.36149E-07  4.14788E-06
 mg  12   6.940261 -0.699739  0.002142  1.52386E-04  3.01523E-07  7.74122E-05
 al  13   5.780848 -0.689152  0.012729  1.17195E-05  1.65923E-07  5.95353E-06
 si  14   6.848728 -0.701272  0.000608  1.42629E-04  2.59461E-08  7.24554E-05
  p  15   4.780592 -0.689408  0.012473  1.34455E-06  1.86450E-08  6.83033E-07
  s  16   6.458312 -0.701688  0.000193  6.62723E-05 -2.00671E-08  3.36663E-05
 cl  17   4.532836 -0.697164  0.004717  8.69918E-07  4.32019E-09  4.41918E-07
 ar  18   5.738096 -0.701904 -0.000023  1.57246E-05 -8.61746E-09  7.98811E-06
  k  19   4.379255 -0.700745  0.001136  6.73595E-07  9.90156E-10  3.42186E-07
 ca  20   5.587986 -0.702014 -0.000133  1.11656E-05 -7.44694E-09  5.67211E-06
 sc  21   2.359068 -0.690932  0.010949  7.39342E-09  8.97040E-11  3.75585E-09
 ti  22   4.210942 -0.699058  0.002823  5.59716E-07  1.54841E-09  2.84336E-07
  v  23   3.256880 -0.703120 -0.001239  6.62133E-08 -4.67359E-11  3.36363E-08
 cr  24   4.919031 -0.720969 -0.019088  3.10449E-06 -9.04834E-10  1.57708E-06
 mn  25   4.779165 -0.700835  0.001046  2.37699E-06  1.63550E-09  1.20751E-06
 fe  26   6.838119 -0.701881  0.000000  2.76753E-04 -1.45912E-07  1.40591E-04
 co  27   4.190866 -0.679133  0.022748  6.57983E-07  1.67289E-08  3.34255E-07
 ni  28   5.500341 -0.699659  0.002222  1.33634E-05  2.75750E-08  6.78860E-06
 cu  29   3.593556 -0.656444  0.045437  1.79322E-07  8.96390E-09  9.10957E-08
 zn  30   3.944668 -0.685332  0.016549  4.14281E-07  7.65567E-09  2.10455E-07
 ga  31   2.444549 -0.635451  0.066430  1.39609E-08  9.99584E-10  7.09214E-09
 ge  32   2.911728 -0.668272  0.033609  4.26474E-08  3.12000E-09  2.16649E-08
 as  33   1.638049 -0.661951  0.039930  2.34233E-09  1.03404E-10  1.18990E-09
 se  34   2.696621 -0.643379  0.058502  2.82499E-08  3.00338E-09  1.43510E-08
 br  35   1.920975 -0.619025  0.082856  4.79217E-09  4.20700E-10  2.43442E-09
 kr  36   2.694902 -0.555098  0.146783  2.98625E-08  4.37857E-09  1.51701E-08
 rb  37   1.785820 -0.574180  0.127701  3.75503E-09  4.84444E-10  1.90755E-09
 sr  38   2.628952 -0.251048  0.450833  2.68253E-08  8.82335E-09  1.36273E-08
  y  39   1.980220 -0.189780  0.512101  6.11140E-09  2.14877E-09  3.10459E-09
 zr  40   2.376029 -0.153971  0.547910  1.56001E-08  5.67822E-09  7.92486E-09
 nb  41   1.198681 -0.211319  0.490562  1.05612E-09  3.62938E-10  5.36509E-10
 mo  42   1.634333 -0.305667  0.396214  2.97387E-09  1.05127E-09  1.51073E-09
 ru  44   1.394041 -0.365959  0.335922  1.80158E-09  6.02523E-10  9.15202E-10
 rh  45   0.552797 -0.507203  0.194678  2.64379E-10  4.84299E-11  1.34305E-10
 pd  46   1.378655 -0.271345  0.430536  1.83092E-09  6.28623E-10  9.30106E-10
 ag  47   0.748034 -0.451966  0.249915  4.34426E-10  9.64332E-11  2.20689E-10
 cd  48   1.524894 -0.185106  0.516775  2.70827E-09  9.93408E-10  1.37580E-09
 in  49   0.449800 -0.310200  0.391680  2.32702E-10  7.22511E-11  1.18212E-10
 sn  50   1.945429 -0.124571  0.577310  7.53192E-09  2.94825E-09  3.82622E-09
 sb  51   0.508724 -0.501276  0.200605  2.82630E-10  9.17680E-11  1.43576E-10
 te  52   1.581546 -0.598454  0.103427  3.50257E-09  1.30078E-09  1.77930E-09
  i  53   0.943645 -0.606355  0.095526  8.01879E-10  8.00945E-11  4.07355E-10
 xe  54   1.832536 -0.407464  0.294417  6.42343E-09  1.74051E-09  3.26310E-09
 cs  55   0.673203 -0.406798  0.295083  4.50540E-10  1.12739E-10  2.28874E-10
 ba  56   2.476495  0.296495  0.998376  2.95965E-08  1.35274E-08  1.50350E-08
 la  57   1.476564  0.306564  1.008445  2.99416E-09  1.37184E-09  1.52103E-09
 ce  58   1.964602  0.384601  1.086482  9.29134E-09  4.33452E-09  4.72000E-09
 pr  59   0.932369  0.172369  0.874250  8.67549E-10  3.81782E-10  4.40715E-10
 nd  60   1.736468  0.286468  0.988349  5.65645E-09  2.59454E-09  2.87348E-09
 sm  62   0.980103  0.040103  0.741984  1.03330E-09  4.54308E-10  5.24915E-10
 eu  63   0.103815 -0.406185  0.295696  1.38850E-10  3.47947E-11  7.05357E-11
 gd  64   0.873013 -0.176986  0.524894  8.44487E-10  3.00762E-10  4.28999E-10
 tb  65  -0.038559 -0.358559  0.343322  1.04622E-10  2.90144E-11  5.31480E-11
 dy  66   0.998243 -0.131757  0.570124  1.16436E-09  4.32410E-10  5.91492E-10
 ho  67   0.097415 -0.372585  0.329296  1.48492E-10  4.00568E-11  7.54341E-11
 er  68   0.804706 -0.115294  0.586587  7.67511E-10  2.90540E-10  3.89896E-10
 tm  69  -0.081427 -0.201427  0.500454  1.00758E-10  3.49991E-11  5.11852E-11
 yb  70   1.079910  0.159910  0.861791  1.49639E-09  6.69272E-10  7.60168E-10
 lu  71   0.169461  0.079461  0.781342  1.85955E-10  7.88197E-11  9.44649E-11
 hf  72   1.046151  0.336151  1.038032  1.42809E-09  6.59043E-10  7.25467E-10
 ta  73   0.141275  0.261275  0.963156  1.80226E-10  8.15798E-11  9.15550E-11
  w  74   0.991772  0.341772  1.043653  1.29778E-09  5.99658E-10  6.59271E-10
 re  75   0.121294 -0.138706  0.563175  1.77125E-10  6.53520E-11  8.99794E-11
 os  76   1.130634 -0.219366  0.482515  1.84885E-09  6.29747E-10  9.39217E-10
 ir  77   0.730745 -0.589255  0.112626  7.43920E-10  8.60221E-11  3.77911E-10
 pt  78   1.205554 -0.414446  0.287435  2.25295E-09  5.95851E-10  1.14450E-09
 au  79   0.420094 -0.379906  0.321975  3.72801E-10  9.90556E-11  1.89383E-10
 hg  80   1.488585  0.318585  1.020465  4.44512E-09  2.05762E-09  2.25812E-09
 tl  81   1.156720  0.386720  1.088601  2.10937E-09  9.84090E-10  1.07156E-09
 pb  82   3.117970  1.077970  1.779850  1.95591E-07  9.77089E-08  9.93602E-08
 bi  83   1.184919  0.534919  1.236800  2.30151E-09  1.10132E-09  1.16917E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.4202   0.5036   1.0311   0.5275   0.7487
# Initial mass = 1.150, Z =  0.0028, Y =  0.250, M_mix = 6.00E-03
# Final mass = 0.642, Mass expelled =   0.5080
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000  7.25205E-01 -1.41932E-02  3.68404E-01
 he   2  10.982142  0.052142  0.754193  2.76394E-01  1.33185E-02  1.40408E-01
  c   6   8.188812 -0.281188  0.420863  1.33472E-03  4.20411E-04  6.78040E-04
  n   7   7.478875 -0.391125  0.310925  3.03543E-04  7.87305E-05  1.54200E-04
  o   8   8.055727 -0.674273  0.027778  1.30864E-03  4.87039E-05  6.64790E-04
  f   9   4.245535 -0.214465  0.487586  2.40571E-07  8.23882E-08  1.22210E-07
 ne  10   7.592433 -0.377567  0.324484  5.68008E-04  1.51667E-04  2.88548E-04
 na  11   5.936789 -0.373211  0.328839  1.42998E-05  3.85254E-06  7.26428E-06
 mg  12   6.950104 -0.689896  0.012155  1.55884E-04  2.07827E-06  7.91890E-05
 al  13   5.780454 -0.689546  0.012505  1.17092E-05  1.60685E-07  5.94829E-06
 si  14   6.848707 -0.701293  0.000758  1.42626E-04  2.44690E-08  7.24539E-05
  p  15   4.790268 -0.679731  0.022319  1.37489E-06  3.40535E-08  6.98442E-07
  s  16   6.458280 -0.701720  0.000331  6.62692E-05 -2.16496E-08  3.36647E-05
 cl  17   4.532858 -0.697142  0.004909  8.69986E-07  4.35449E-09  4.41953E-07
 ar  18   5.738020 -0.701980  0.000071  1.57223E-05 -9.80071E-09  7.98692E-06
  k  19   4.379294 -0.700706  0.001345  6.73674E-07  1.03014E-09  3.42226E-07
 ca  20   5.587961 -0.702039  0.000012  1.11652E-05 -7.62293E-09  5.67194E-06
 sc  21   2.363320 -0.686680  0.015371  7.46635E-09  1.26757E-10  3.79291E-09
 ti  22   4.214220 -0.695780  0.006271  5.63972E-07  3.71031E-09  2.86498E-07
  v  23   3.257689 -0.702311 -0.000260  6.63385E-08  1.68825E-11  3.37000E-08
 cr  24   4.919027 -0.720973 -0.018922  3.10454E-06 -8.75275E-10  1.57711E-06
 mn  25   4.779377 -0.700624  0.001427  2.37821E-06  2.25646E-09  1.20813E-06
 fe  26   6.837949 -0.702051  0.000000  2.76652E-04 -1.97047E-07  1.40539E-04
 co  27   4.179914 -0.690085  0.011965  6.41614E-07  8.41371E-09  3.25940E-07
 ni  28   5.499012 -0.700988  0.001062  1.33229E-05  7.00538E-09  6.76803E-06
 cu  29   3.572743 -0.677257  0.024794  1.70936E-07  4.70346E-09  8.68353E-08
 zn  30   3.948046 -0.681954  0.020096  4.17527E-07  9.30469E-09  2.12104E-07
 ga  31   2.488208 -0.591792  0.110259  1.54378E-08  1.74983E-09  7.84239E-09
 ge  32   2.968425 -0.611575  0.090476  4.85961E-08  6.14193E-09  2.46868E-08
 as  33   1.678214 -0.621786  0.080265  2.56936E-09  2.18735E-10  1.30524E-09
 se  34   2.792418 -0.547582  0.154468  3.52229E-08  6.54566E-09  1.78932E-08
 br  35   2.003270 -0.536730  0.165321  5.79215E-09  9.28688E-10  2.94241E-09
 kr  36   2.831861 -0.418139  0.283911  4.09350E-08  1.00034E-08  2.07950E-08
 rb  37   1.893632 -0.466368  0.235683  4.81323E-09  1.02201E-09  2.44512E-09
 sr  38   2.936595  0.056595  0.758646  5.44752E-08  2.28695E-08  2.76734E-08
  y  39   2.307023  0.137023  0.839074  1.29704E-08  5.63317E-09  6.58898E-09
 zr  40   2.715493  0.185493  0.887544  3.40882E-08  1.50701E-08  1.73168E-08
 nb  41   1.520920  0.110920  0.812971  2.21802E-09  9.53181E-10  1.12675E-09
